  [Bronchospasm] macro-cycle end, t= 18.59s  auto_peep=4.1186
  [Bronchospasm] macro-cycle end, t= 29.87s  auto_peep=3.1436
  [Bronchospasm] macro-cycle end, t= 40.66s  auto_peep=3.5568
  [Bronchospasm] macro-cycle end, t= 46.91s  auto_peep=4.7505
  [Bronchospasm] macro-cycle end, t= 53.54s  auto_peep=4.2541
  [Bronchospasm] macro-cycle end, t= 59.54s  auto_peep=5.6053
  [Bronchospasm] macro-cycle end, t= 65.77s  auto_peep=4.3661
  [Bronchospasm] macro-cycle end, t= 71.77s  auto_peep=5.0151
  [Bronchospasm] macro-cycle end, t= 77.77s  auto_peep=4.2668
  [Bronchospasm] macro-cycle end, t= 83.77s  auto_peep=3.8337
  [Bronchospasm] macro-cycle end, t= 94.80s  auto_peep=4.9048
  [Bronchospasm] macro-cycle end, t=100.83s  auto_peep=3.8533
  [Bronchospasm] macro-cycle end, t=107.25s  auto_peep=3.8886
  [Bronchospasm] macro-cycle end, t=113.25s  auto_peep=4.8488
  [Bronchospasm] macro-cycle end, t=  6.21s  auto_peep=4.7716
  [Bronchospasm] macro-cycle end, t= 12.21s  auto_peep=4.9890
  [Bronchospasm] macro-cycle end, t= 24.51s  auto_peep=2.9146
  [Bronchospasm] macro-cycle end, t= 30.51s  auto_peep=3.9827
  [Bronchospasm] macro-cycle end, t= 36.51s  auto_peep=6.1059
  [Bronchospasm] macro-cycle end, t= 42.51s  auto_peep=4.0503
  [Bronchospasm] macro-cycle end, t= 59.56s  auto_peep=5.2705
  [Bronchospasm] macro-cycle end, t= 66.00s  auto_peep=5.6947
  [Bronchospasm] macro-cycle end, t= 72.00s  auto_peep=4.8819
  [Bronchospasm] macro-cycle end, t= 78.00s  auto_peep=2.3960
  [Bronchospasm] macro-cycle end, t= 84.31s  auto_peep=4.3623
  [Bronchospasm] macro-cycle end, t=101.19s  auto_peep=2.6268
  [Bronchospasm] macro-cycle end, t=107.30s  auto_peep=4.8902
  [Bronchospasm] macro-cycle end, t=113.70s  auto_peep=2.9370
  [Bronchospasm] macro-cycle end, t=119.70s  auto_peep=3.8541
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=5.1744
  [Bronchospasm] macro-cycle end, t= 12.00s  auto_peep=4.5915
  [Bronchospasm] macro-cycle end, t= 29.37s  auto_peep=4.3029
  [Bronchospasm] macro-cycle end, t= 35.91s  auto_peep=4.4713
  [Bronchospasm] macro-cycle end, t= 47.07s  auto_peep=2.5691
  [Bronchospasm] macro-cycle end, t= 53.67s  auto_peep=3.6274
  [Bronchospasm] macro-cycle end, t= 59.93s  auto_peep=4.4076
  [Bronchospasm] macro-cycle end, t= 71.86s  auto_peep=6.1462
  [Bronchospasm] macro-cycle end, t= 77.86s  auto_peep=3.0060
  [Bronchospasm] macro-cycle end, t= 84.18s  auto_peep=4.2185
  [Bronchospasm] macro-cycle end, t= 90.56s  auto_peep=5.3115
  [Bronchospasm] macro-cycle end, t=101.15s  auto_peep=5.2248
  [Bronchospasm] macro-cycle end, t=107.15s  auto_peep=2.5653
  [Bronchospasm] macro-cycle end, t=113.15s  auto_peep=2.1687
  [Bronchospasm] macro-cycle end, t=119.15s  auto_peep=3.2859
  [Bronchospasm] macro-cycle end, t= 10.51s  auto_peep=5.4535
  [Bronchospasm] macro-cycle end, t= 16.51s  auto_peep=3.3142
  [Bronchospasm] macro-cycle end, t= 22.51s  auto_peep=2.3922
  [Bronchospasm] macro-cycle end, t= 28.51s  auto_peep=2.9984
  [Bronchospasm] macro-cycle end, t= 34.51s  auto_peep=3.3823
  [Bronchospasm] macro-cycle end, t= 45.87s  auto_peep=3.2628
  [Bronchospasm] macro-cycle end, t= 52.00s  auto_peep=4.1825
  [Bronchospasm] macro-cycle end, t= 58.67s  auto_peep=4.7457
  [Bronchospasm] macro-cycle end, t= 64.67s  auto_peep=3.8970
  [Bronchospasm] macro-cycle end, t= 70.67s  auto_peep=2.7228
  [Bronchospasm] macro-cycle end, t= 76.67s  auto_peep=3.2639
  [Bronchospasm] macro-cycle end, t= 82.91s  auto_peep=3.7326
  [Bronchospasm] macro-cycle end, t= 88.91s  auto_peep=3.3422
  [Bronchospasm] macro-cycle end, t= 94.91s  auto_peep=3.7606
  [Bronchospasm] macro-cycle end, t=101.88s  auto_peep=4.0138
  [Bronchospasm] macro-cycle end, t=113.68s  auto_peep=2.9397
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=1.1612
  [Bronchospasm] macro-cycle end, t= 12.00s  auto_peep=2.9583
  [Bronchospasm] macro-cycle end, t= 18.53s  auto_peep=3.9423
  [Bronchospasm] macro-cycle end, t= 25.00s  auto_peep=3.5177
  [Bronchospasm] macro-cycle end, t= 36.02s  auto_peep=2.6830
  [Bronchospasm] macro-cycle end, t= 42.02s  auto_peep=2.5428
  [Bronchospasm] macro-cycle end, t= 48.02s  auto_peep=4.5312
  [Bronchospasm] macro-cycle end, t= 54.02s  auto_peep=3.3957
  [Bronchospasm] macro-cycle end, t= 60.02s  auto_peep=2.7004
  [Bronchospasm] macro-cycle end, t= 66.02s  auto_peep=2.6450
  [Bronchospasm] macro-cycle end, t= 72.02s  auto_peep=3.2778
  [Bronchospasm] macro-cycle end, t= 78.89s  auto_peep=2.6765
  [Bronchospasm] macro-cycle end, t= 84.90s  auto_peep=3.9707
  [Bronchospasm] macro-cycle end, t= 91.49s  auto_peep=4.6270
  [Bronchospasm] macro-cycle end, t= 97.49s  auto_peep=4.1147
  [Bronchospasm] macro-cycle end, t=108.99s  auto_peep=3.3058
  [Bronchospasm] macro-cycle end, t=115.28s  auto_peep=4.6928
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=3.2151
  [Bronchospasm] macro-cycle end, t= 12.03s  auto_peep=4.2542
  [Bronchospasm] macro-cycle end, t= 18.03s  auto_peep=4.3649
  [Bronchospasm] macro-cycle end, t= 24.43s  auto_peep=3.8396
  [Bronchospasm] macro-cycle end, t= 30.43s  auto_peep=3.7860
  [Bronchospasm] macro-cycle end, t= 36.50s  auto_peep=3.9904
  [Bronchospasm] macro-cycle end, t= 42.66s  auto_peep=4.9372
  [Bronchospasm] macro-cycle end, t= 49.53s  auto_peep=4.4656
  [Bronchospasm] macro-cycle end, t= 55.59s  auto_peep=3.5104
  [Bronchospasm] macro-cycle end, t= 61.84s  auto_peep=4.2677
  [Bronchospasm] macro-cycle end, t= 68.28s  auto_peep=4.6225
  [Bronchospasm] macro-cycle end, t= 74.28s  auto_peep=4.2127
  [Bronchospasm] macro-cycle end, t= 80.28s  auto_peep=5.9204
  [Bronchospasm] macro-cycle end, t= 91.83s  auto_peep=2.5661
  [Bronchospasm] macro-cycle end, t= 97.83s  auto_peep=4.5484
  [Bronchospasm] macro-cycle end, t=103.83s  auto_peep=2.3911
  [Bronchospasm] macro-cycle end, t=115.58s  auto_peep=3.0703
  [Bronchospasm] macro-cycle end, t=121.99s  auto_peep=3.7024
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=5.0015
  [Bronchospasm] macro-cycle end, t= 17.52s  auto_peep=4.5100
  [Bronchospasm] macro-cycle end, t= 23.63s  auto_peep=3.6947
  [Bronchospasm] macro-cycle end, t= 29.63s  auto_peep=3.3483
  [Bronchospasm] macro-cycle end, t= 35.63s  auto_peep=2.8075
  [Bronchospasm] macro-cycle end, t= 41.63s  auto_peep=4.0220
  [Bronchospasm] macro-cycle end, t= 53.36s  auto_peep=2.5901
  [Bronchospasm] macro-cycle end, t= 59.36s  auto_peep=3.2643
  [Bronchospasm] macro-cycle end, t= 65.36s  auto_peep=4.0336
  [Bronchospasm] macro-cycle end, t= 71.36s  auto_peep=3.7834
  [Bronchospasm] macro-cycle end, t= 77.36s  auto_peep=2.4349
  [Bronchospasm] macro-cycle end, t= 83.36s  auto_peep=3.2330
  [Bronchospasm] macro-cycle end, t= 89.82s  auto_peep=4.3568
  [Bronchospasm] macro-cycle end, t= 95.82s  auto_peep=2.9807
  [Bronchospasm] macro-cycle end, t=102.20s  auto_peep=5.1829
  [Bronchospasm] macro-cycle end, t=108.69s  auto_peep=5.0255
  [Bronchospasm] macro-cycle end, t=114.84s  auto_peep=4.3453
  [Bronchospasm] macro-cycle end, t=120.84s  auto_peep=3.7985
  [Bronchospasm] macro-cycle end, t= 10.67s  auto_peep=2.6265
  [Bronchospasm] macro-cycle end, t= 16.67s  auto_peep=3.6704
  [Bronchospasm] macro-cycle end, t= 22.67s  auto_peep=3.9938
  [Bronchospasm] macro-cycle end, t= 28.67s  auto_peep=2.6013
  [Bronchospasm] macro-cycle end, t= 34.67s  auto_peep=3.1280
  [Bronchospasm] macro-cycle end, t= 40.87s  auto_peep=4.5000
  [Bronchospasm] macro-cycle end, t= 47.51s  auto_peep=3.3229
  [Bronchospasm] macro-cycle end, t= 54.23s  auto_peep=3.6371
  [Bronchospasm] macro-cycle end, t= 60.23s  auto_peep=2.7120
  [Bronchospasm] macro-cycle end, t= 66.23s  auto_peep=3.6276
  [Bronchospasm] macro-cycle end, t= 72.56s  auto_peep=4.6754
  [Bronchospasm] macro-cycle end, t= 78.56s  auto_peep=2.3771
  [Bronchospasm] macro-cycle end, t= 84.56s  auto_peep=3.3903
  [Bronchospasm] macro-cycle end, t= 90.68s  auto_peep=4.6372
  [Bronchospasm] macro-cycle end, t= 96.68s  auto_peep=5.0257
  [Bronchospasm] macro-cycle end, t=103.47s  auto_peep=2.9000
  [Bronchospasm] macro-cycle end, t=110.06s  auto_peep=4.0077
  [Bronchospasm] macro-cycle end, t=116.22s  auto_peep=4.3097
  [Bronchospasm] macro-cycle end, t=122.52s  auto_peep=3.6283
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=5.5094
  [Bronchospasm] macro-cycle end, t= 12.00s  auto_peep=5.2683
  [Bronchospasm] macro-cycle end, t= 18.10s  auto_peep=3.0121
  [Bronchospasm] macro-cycle end, t= 24.76s  auto_peep=3.4113
  [Bronchospasm] macro-cycle end, t= 31.01s  auto_peep=3.4962
  [Bronchospasm] macro-cycle end, t= 37.01s  auto_peep=4.0592
  [Bronchospasm] macro-cycle end, t= 43.01s  auto_peep=3.6192
  [Bronchospasm] macro-cycle end, t= 49.01s  auto_peep=4.0879
  [Bronchospasm] macro-cycle end, t= 59.87s  auto_peep=5.2340
  [Bronchospasm] macro-cycle end, t= 65.87s  auto_peep=3.0806
  [Bronchospasm] macro-cycle end, t= 71.87s  auto_peep=2.5061
  [Bronchospasm] macro-cycle end, t= 78.52s  auto_peep=4.1419
  [Bronchospasm] macro-cycle end, t= 85.17s  auto_peep=3.8553
  [Bronchospasm] macro-cycle end, t= 91.17s  auto_peep=2.8935
  [Bronchospasm] macro-cycle end, t= 97.17s  auto_peep=3.7221
  [Bronchospasm] macro-cycle end, t=103.67s  auto_peep=5.0297
  [Bronchospasm] macro-cycle end, t=109.67s  auto_peep=3.3210
  [Bronchospasm] macro-cycle end, t=116.06s  auto_peep=3.9544
  [Bronchospasm] macro-cycle end, t=122.12s  auto_peep=4.4233
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=4.1366
  [Bronchospasm] macro-cycle end, t= 12.65s  auto_peep=5.1306
